Instrução|Entrada|Saída Esperada
Auxilie na formação de sílabas simples.|Como fica a letra 'p' com a letra 'u'?|Juntando 'p' com 'u' formamos a sílaba 'pu'.
Auxilie na formação de sílabas simples.|Como fica a letra 'g' com a letra 'i'?|Juntando 'g' com 'i' formamos a sílaba 'gi'.
Auxilie na formação de sílabas simples.|Como fica a letra 't' com a letra 'u'?|Juntando 't' com 'u' formamos a sílaba 'tu'.
Auxilie na formação de sílabas simples.|Como fica a letra 'f' com a letra 'e'?|Juntando 'f' com 'e' formamos a sílaba 'fe'.
Auxilie na formação de sílabas simples.|Como fica a letra 'v' com a letra 'a'?|Juntando 'v' com 'a' formamos a sílaba 'va'.
Auxilie na formação de sílabas simples.|Como fica a letra 't' com a letra 'i'?|Juntando 't' com 'i' formamos a sílaba 'ti'.
Incentive a organização dos pertences.|Terminei de brincar.|Legal! Agora é hora de guardar os blocos de montar no lugar certo.
Auxilie na formação de sílabas simples.|Como fica a letra 'd' com a letra 'o'?|Juntando 'd' com 'o' formamos a sílaba 'do'.
Auxilie na formação de sílabas simples.|Como fica a letra 'b' com a letra 'e'?|Juntando 'b' com 'e' formamos a sílaba 'be'.
Ofereça uma estratégia para lidar com a frustração.|Eu não consigo montar o lego!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar respirar fundo três vezes para nos acalmar.
Auxilie na formação de sílabas simples.|Como fica a letra 'd' com a letra 'a'?|Juntando 'd' com 'a' formamos a sílaba 'da'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Mateus?|Você pode chegar perto e dizer: 'Bom dia! Quer brincar comigo?'
Ofereça uma estratégia para lidar com a frustração.|Eu perdi no jogo!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar fazer um desenho para nos acalmar.
Motive o compartilhamento de brinquedos.|O(A) Mateus quer brincar com a minha livro de colorir.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Motive o compartilhamento de brinquedos.|O(A) Leo quer brincar com a minha videogame.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Motive o compartilhamento de brinquedos.|O(A) Júlia quer brincar com a minha videogame.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Sofia?|Você pode chegar perto e dizer: 'Bom dia! Quer brincar comigo?'
Motive o compartilhamento de brinquedos.|O(A) Sofia quer brincar com a minha bola.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Lucas?|Você pode chegar perto e dizer: 'Boa tarde! Quer brincar comigo?'
Auxilie na formação de sílabas simples.|Como fica a letra 'm' com a letra 'e'?|Juntando 'm' com 'e' formamos a sílaba 'me'.
Identifique a cor de um objeto ou elemento comum.|De que cor é a céu?|A céu é da cor azul.
Motive o compartilhamento de brinquedos.|O(A) Lucas quer brincar com a minha massinha.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Demonstre como pedir ajuda de forma educada.|Não estou conseguindo fazer isso.|Tudo bem não conseguir. Você pode tentar dizer: 'Você pode me ajudar, por favor?'
Auxilie na formação de sílabas simples.|Como fica a letra 'f' com a letra 'a'?|Juntando 'f' com 'a' formamos a sílaba 'fa'.
Auxilie na formação de sílabas simples.|Como fica a letra 'g' com a letra 'o'?|Juntando 'g' com 'o' formamos a sílaba 'go'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Júlia?|Você pode chegar perto e dizer: 'Oi, tudo bem? Quer brincar comigo?'
Incentive a organização dos pertences.|Terminei de brincar.|Legal! Agora é hora de guardar as bonecas no lugar certo.
Auxilie na formação de sílabas simples.|Como fica a letra 'j' com a letra 'a'?|Juntando 'j' com 'a' formamos a sílaba 'ja'.
Auxilie na formação de sílabas simples.|Como fica a letra 'm' com a letra 'u'?|Juntando 'm' com 'u' formamos a sílaba 'mu'.
Identifique a cor de um objeto ou elemento comum.|De que cor é a grama?|A grama é da cor verde.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Leo?|Você pode chegar perto e dizer: 'Olá! Quer brincar comigo?'
Motive o compartilhamento de brinquedos.|O(A) Lucas quer brincar com a minha livro de colorir.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Motive o compartilhamento de brinquedos.|O(A) Leo quer brincar com a minha quebra-cabeça.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Auxilie na formação de sílabas simples.|Como fica a letra 'b' com a letra 'o'?|Juntando 'b' com 'o' formamos a sílaba 'bo'.
Auxilie na formação de sílabas simples.|Como fica a letra 'j' com a letra 'i'?|Juntando 'j' com 'i' formamos a sílaba 'ji'.
Auxilie na formação de sílabas simples.|Como fica a letra 'v' com a letra 'i'?|Juntando 'v' com 'i' formamos a sílaba 'vi'.
Auxilie na formação de sílabas simples.|Como fica a letra 'n' com a letra 'e'?|Juntando 'n' com 'e' formamos a sílaba 'ne'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Júlia?|Você pode chegar perto e dizer: 'Bom dia! Quer brincar comigo?'
Valide um sentimento negativo e ofereça apoio.|Hoje eu estou me sentindo triste.|Obrigado por me contar. É normal se sentir triste às vezes. Quer conversar sobre isso?
Auxilie na formação de sílabas simples.|Como fica a letra 'r' com a letra 'u'?|Juntando 'r' com 'u' formamos a sílaba 'ru'.
Oriente sobre a próxima tarefa da rotina da manhã.|Já acordei. E agora?|Que ótimo! O próximo passo da nossa rotina é escovar os dentes. Vamos lá?
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Júlia?|Você pode chegar perto e dizer: 'Olá! Quer brincar comigo?'
Auxilie na formação de sílabas simples.|Como fica a letra 'p' com a letra 'i'?|Juntando 'p' com 'i' formamos a sílaba 'pi'.
Auxilie na formação de sílabas simples.|Como fica a letra 'r' com a letra 'o'?|Juntando 'r' com 'o' formamos a sílaba 'ro'.
Auxilie na formação de sílabas simples.|Como fica a letra 'v' com a letra 'u'?|Juntando 'v' com 'u' formamos a sílaba 'vu'.
Auxilie na formação de sílabas simples.|Como fica a letra 'c' com a letra 'i'?|Juntando 'c' com 'i' formamos a sílaba 'ci'.
Ofereça uma estratégia para lidar com a frustração.|Eu meu desenho não ficou como eu queria!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar fazer um desenho para nos acalmar.
Associe um animal ao seu som característico.|Qual som o(a) vaca faz?|O(A) vaca faz 'muuu'!
Auxilie na formação de sílabas simples.|Como fica a letra 'c' com a letra 'e'?|Juntando 'c' com 'e' formamos a sílaba 'ce'.
Auxilie na formação de sílabas simples.|Como fica a letra 'n' com a letra 'i'?|Juntando 'n' com 'i' formamos a sílaba 'ni'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Sofia?|Você pode chegar perto e dizer: 'Boa tarde! Quer brincar comigo?'
Associe um animal ao seu som característico.|Qual som o(a) cachorro faz?|O(A) cachorro faz 'au au'!
Demonstre como pedir ajuda de forma educada.|Não estou conseguindo fazer isso.|Tudo bem não conseguir. Você pode tentar dizer: 'Preciso de ajuda com isso.'
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Lucas?|Você pode chegar perto e dizer: 'Bom dia! Quer brincar comigo?'
Auxilie na formação de sílabas simples.|Como fica a letra 'r' com a letra 'e'?|Juntando 'r' com 'e' formamos a sílaba 're'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Leo?|Você pode chegar perto e dizer: 'Oi, tudo bem? Quer brincar comigo?'
Auxilie na formação de sílabas simples.|Como fica a letra 'g' com a letra 'e'?|Juntando 'g' com 'e' formamos a sílaba 'ge'.
Oriente sobre a próxima tarefa da rotina da manhã.|Já acordei. E agora?|Que ótimo! O próximo passo da nossa rotina é pentear o cabelo. Vamos lá?
Auxilie na formação de sílabas simples.|Como fica a letra 'v' com a letra 'e'?|Juntando 'v' com 'e' formamos a sílaba 've'.
Auxilie na formação de sílabas simples.|Como fica a letra 't' com a letra 'a'?|Juntando 't' com 'a' formamos a sílaba 'ta'.
Motive o compartilhamento de brinquedos.|O(A) Mateus quer brincar com a minha bola.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Auxilie na formação de sílabas simples.|Como fica a letra 'r' com a letra 'i'?|Juntando 'r' com 'i' formamos a sílaba 'ri'.
Motive o compartilhamento de brinquedos.|O(A) Mateus quer brincar com a minha massinha.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Motive o compartilhamento de brinquedos.|O(A) Lucas quer brincar com a minha quebra-cabeça.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Auxilie na formação de sílabas simples.|Como fica a letra 'c' com a letra 'u'?|Juntando 'c' com 'u' formamos a sílaba 'cu'.
Motive o compartilhamento de brinquedos.|O(A) Júlia quer brincar com a minha quebra-cabeça.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Motive o compartilhamento de brinquedos.|O(A) Lucas quer brincar com a minha bola.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Incentive a organização dos pertences.|Terminei de brincar.|Legal! Agora é hora de guardar os lápis de cor no lugar certo.
Auxilie na formação de sílabas simples.|Como fica a letra 'n' com a letra 'u'?|Juntando 'n' com 'u' formamos a sílaba 'nu'.
Auxilie na formação de sílabas simples.|Como fica a letra 'c' com a letra 'o'?|Juntando 'c' com 'o' formamos a sílaba 'co'.
Motive o compartilhamento de brinquedos.|O(A) Sofia quer brincar com a minha livro de colorir.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Associe um animal ao seu som característico.|Qual som o(a) pato faz?|O(A) pato faz 'quá quá'!
Auxilie na formação de sílabas simples.|Como fica a letra 'm' com a letra 'o'?|Juntando 'm' com 'o' formamos a sílaba 'mo'.
Lembre sobre uma tarefa importante da rotina da noite.|Estou com sono...|Eu sei, mas antes de dormir, precisamos guardar os brinquedos. É rapidinho!
Ajude a nomear um sentimento positivo.|Eu ganhei um presente!|Uau! Ganhar presentes nos deixa muito orgulhoso(a), não é?
Auxilie na formação de sílabas simples.|Como fica a letra 'd' com a letra 'u'?|Juntando 'd' com 'u' formamos a sílaba 'du'.
Identifique a cor de um objeto ou elemento comum.|De que cor é a sol?|A sol é da cor amarelo.
Associe um animal ao seu som característico.|Qual som o(a) pintinho faz?|O(A) pintinho faz 'piu piu'!
Auxilie na formação de sílabas simples.|Como fica a letra 'j' com a letra 'e'?|Juntando 'j' com 'e' formamos a sílaba 'je'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Mateus?|Você pode chegar perto e dizer: 'Boa tarde! Quer brincar comigo?'
Ofereça uma estratégia para lidar com a frustração.|Eu perdi no jogo!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar respirar fundo três vezes para nos acalmar.
Motive o compartilhamento de brinquedos.|O(A) Mateus quer brincar com a minha videogame.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Auxilie na formação de sílabas simples.|Como fica a letra 'd' com a letra 'e'?|Juntando 'd' com 'e' formamos a sílaba 'de'.
Motive o compartilhamento de brinquedos.|O(A) Leo quer brincar com a minha bola.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Auxilie na formação de sílabas simples.|Como fica a letra 'b' com a letra 'a'?|Juntando 'b' com 'a' formamos a sílaba 'ba'.
Auxilie na formação de sílabas simples.|Como fica a letra 'l' com a letra 'i'?|Juntando 'l' com 'i' formamos a sílaba 'li'.
Auxilie na formação de sílabas simples.|Como fica a letra 'm' com a letra 'i'?|Juntando 'm' com 'i' formamos a sílaba 'mi'.
Ofereça uma estratégia para lidar com a frustração.|Eu não consigo montar o lego!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar fazer um desenho para nos acalmar.
Auxilie na formação de sílabas simples.|Como fica a letra 'b' com a letra 'u'?|Juntando 'b' com 'u' formamos a sílaba 'bu'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Mateus?|Você pode chegar perto e dizer: 'Olá! Quer brincar comigo?'
Valide um sentimento negativo e ofereça apoio.|Hoje eu estou me sentindo com medo.|Obrigado por me contar. É normal se sentir com medo às vezes. Quer conversar sobre isso?
Ajude a nomear um sentimento positivo.|Eu ganhei um presente!|Uau! Ganhar presentes nos deixa muito calmo(a), não é?
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Sofia?|Você pode chegar perto e dizer: 'Olá! Quer brincar comigo?'
Oriente sobre a próxima tarefa da rotina da manhã.|Já acordei. E agora?|Que ótimo! O próximo passo da nossa rotina é tomar o café da manhã. Vamos lá?
Auxilie na formação de sílabas simples.|Como fica a letra 's' com a letra 'u'?|Juntando 's' com 'u' formamos a sílaba 'su'.
Auxilie na formação de sílabas simples.|Como fica a letra 'g' com a letra 'u'?|Juntando 'g' com 'u' formamos a sílaba 'gu'.
Ofereça uma estratégia para lidar com a frustração.|Eu não consigo montar o lego!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar apertar uma almofada para nos acalmar.
Auxilie na formação de sílabas simples.|Como fica a letra 'j' com a letra 'o'?|Juntando 'j' com 'o' formamos a sílaba 'jo'.
Oriente sobre a próxima tarefa da rotina da manhã.|Já acordei. E agora?|Que ótimo! O próximo passo da nossa rotina é vestir o uniforme da escola. Vamos lá?
Auxilie na formação de sílabas simples.|Como fica a letra 'n' com a letra 'o'?|Juntando 'n' com 'o' formamos a sílaba 'no'.
Auxilie na formação de sílabas simples.|Como fica a letra 'p' com a letra 'o'?|Juntando 'p' com 'o' formamos a sílaba 'po'.
Auxilie na formação de sílabas simples.|Como fica a letra 'f' com a letra 'u'?|Juntando 'f' com 'u' formamos a sílaba 'fu'.
Valide um sentimento negativo e ofereça apoio.|Hoje eu estou me sentindo bravo(a).|Obrigado por me contar. É normal se sentir bravo(a) às vezes. Quer conversar sobre isso?
Lembre sobre uma tarefa importante da rotina da noite.|Estou com sono...|Eu sei, mas antes de dormir, precisamos ler uma história. É rapidinho!
Motive o compartilhamento de brinquedos.|O(A) Leo quer brincar com a minha livro de colorir.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Ofereça uma estratégia para lidar com a frustração.|Eu meu desenho não ficou como eu queria!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar apertar uma almofada para nos acalmar.
Ofereça uma estratégia para lidar com a frustração.|Eu a torre de blocos caiu!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar ouvir uma música tranquila para nos acalmar.
Auxilie na formação de sílabas simples.|Como fica a letra 'n' com a letra 'a'?|Juntando 'n' com 'a' formamos a sílaba 'na'.
Ofereça uma estratégia para lidar com a frustração.|Eu a torre de blocos caiu!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar respirar fundo três vezes para nos acalmar.
Demonstre como pedir ajuda de forma educada.|Não estou conseguindo fazer isso.|Tudo bem não conseguir. Você pode tentar dizer: 'Estou com dificuldade aqui, me ajuda?'
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Mateus?|Você pode chegar perto e dizer: 'Oi, tudo bem? Quer brincar comigo?'
Auxilie na formação de sílabas simples.|Como fica a letra 'f' com a letra 'i'?|Juntando 'f' com 'i' formamos a sílaba 'fi'.
Ajude a nomear um sentimento positivo.|Eu ganhei um presente!|Uau! Ganhar presentes nos deixa muito animado(a), não é?
Auxilie na formação de sílabas simples.|Como fica a letra 'm' com a letra 'a'?|Juntando 'm' com 'a' formamos a sílaba 'ma'.
Auxilie na formação de sílabas simples.|Como fica a letra 's' com a letra 'o'?|Juntando 's' com 'o' formamos a sílaba 'so'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Leo?|Você pode chegar perto e dizer: 'Bom dia! Quer brincar comigo?'
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Júlia?|Você pode chegar perto e dizer: 'Boa tarde! Quer brincar comigo?'
Auxilie na formação de sílabas simples.|Como fica a letra 't' com a letra 'e'?|Juntando 't' com 'e' formamos a sílaba 'te'.
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Lucas?|Você pode chegar perto e dizer: 'Olá! Quer brincar comigo?'
Ofereça uma estratégia para lidar com a frustração.|Eu a torre de blocos caiu!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar fazer um desenho para nos acalmar.
Valide um sentimento negativo e ofereça apoio.|Hoje eu estou me sentindo frustrado(a).|Obrigado por me contar. É normal se sentir frustrado(a) às vezes. Quer conversar sobre isso?
Ajude a nomear um sentimento positivo.|Eu ganhei um presente!|Uau! Ganhar presentes nos deixa muito feliz, não é?
Ensine como iniciar uma conversa com um colega.|Como eu falo com o(a) Lucas?|Você pode chegar perto e dizer: 'Oi, tudo bem? Quer brincar comigo?'
Identifique a cor de um objeto ou elemento comum.|De que cor é a maçã?|A maçã é da cor vermelha.
Ofereça uma estratégia para lidar com a frustração.|Eu perdi no jogo!|Eu entendo como isso é frustrante. Quando nos sentimos assim, podemos tentar apertar uma almofada para nos acalmar.
Auxilie na formação de sílabas simples.|Como fica a letra 't' com a letra 'o'?|Juntando 't' com 'o' formamos a sílaba 'to'.
Auxilie na formação de sílabas simples.|Como fica a letra 's' com a letra 'i'?|Juntando 's' com 'i' formamos a sílaba 'si'.
Identifique a cor de um objeto ou elemento comum.|De que cor é a uva?|A uva é da cor roxa.
Auxilie na formação de sílabas simples.|Como fica a letra 'r' com a letra 'a'?|Juntando 'r' com 'a' formamos a sílaba 'ra'.
Motive o compartilhamento de brinquedos.|O(A) Sofia quer brincar com a minha videogame.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Auxilie na formação de sílabas simples.|Como fica a letra 'v' com a letra 'o'?|Juntando 'v' com 'o' formamos a sílaba 'vo'.
Motive o compartilhamento de brinquedos.|O(A) Júlia quer brincar com a minha massinha.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
Motive o compartilhamento de brinquedos.|O(A) Mateus quer brincar com a minha quebra-cabeça.|Que legal! Dividir os brinquedos é muito divertido. Vocês podem brincar juntos.
